Title,Release_Year,Genre,Description,Release_Year,Poster_URL,TMDB_ID
An Evening in Paris,Old is Gold,Musical/Romance,A classic romantic musical thriller set in Paris featuring mistaken identities and a memorable soundtrack.,Old is Gold,https://image.tmdb.org/t/p/w500/xlSfgJ3HW9nhUwjVyqZzHgAiatg.jpg,87149
Pyaar To Hona Hi Tha,Old is Gold,Romantic Comedy,"A remake of French Kiss, this romantic comedy follows a woman who falls for a thief while trying to win back her fiance.",Old is Gold,https://image.tmdb.org/t/p/w500/7AxLqNWoZIzvqdNAyb62JwDHr4W.jpg,60397
CID,Old is Gold,Crime Investigation Series,India's longest-running detective series following CID officers solving complex criminal cases.,Old is Gold,https://image.tmdb.org/t/p/w500/i38geiHIqpkE6UyImw7b3TmojWv.jpg,491120
Upendra,Old is Gold,Psychological Thriller,"An allegorical psychological thriller exploring three human emotions through relationships, touching upon Maslow's hierarchy of needs.",Old is Gold,https://image.tmdb.org/t/p/w500/4k9q0ruLyOmWZSTdTLkkcrAxmF4.jpg,559652
Monsoon Wedding,Old is Gold,Drama/Romance,"A chaotic Punjabi wedding in Delhi brings together family secrets, romance, and cultural traditions in this ensemble drama.",Old is Gold,https://image.tmdb.org/t/p/w500/vCwkv7tYFem0tQ9Duoq2MX7T7Zd.jpg,480
Kal Ho Naa Ho,Old is Gold,Romantic Drama,"A heartwarming story about friendship, love, and loss set in New York, revolving around a terminally ill man who brings joy to others.",Old is Gold,https://image.tmdb.org/t/p/w500/zhMI6I0kSLnewTMwE0A8Tz3Cj2f.jpg,4254
Hazaaron Khwaishein Aisi,Old is Gold,Political Drama,"Set in the 1970s, three young people with different ideologies navigate love and politics during India's Emergency period.",Old is Gold,https://image.tmdb.org/t/p/w500/13psYxACQGcK0i1nzGkW6Jyx0ts.jpg,21557
Yuva,Old is Gold,Political Drama,Three young men from different backgrounds get involved in politics and their lives intertwine in this multi-narrative political drama.,Old is Gold,https://image.tmdb.org/t/p/w500/50qZ0Sdc6vQMgVhYP0WIYaL4ryZ.jpg,1094662
Hava Aney Dey,Old is Gold,Drama,An Indian Gujarati language drama exploring family dynamics and cultural traditions.,Old is Gold,https://image.tmdb.org/t/p/w500/98uhq3zemaKNLRhI1tLXFGqRO47.jpg,301485
Black,Old is Gold,Drama,The story of a deaf-blind girl and her relationship with her teacher who helps her overcome challenges and discover the world.,Old is Gold,https://image.tmdb.org/t/p/w500/cFICDU9erHYmlAyCZzbb1adNMgh.jpg,31977
Kaal,Old is Gold,Horror/Thriller,A supernatural thriller about a group of friends on a wildlife trip who encounter a mysterious man-eating tiger in a jungle.,Old is Gold,https://image.tmdb.org/t/p/w500/5IPFJ2XFbYjdIw4912ZufCMolX.jpg,1257957
Kabhi Alvida Naa Kehna,Old is Gold,Romantic Drama,A complex tale of love and infidelity exploring marital relationships and emotional connections between two married individuals.,Old is Gold,https://image.tmdb.org/t/p/w500/lwgH4S0km8lD7rk5qy78EKW8YEn.jpg,14395
