Headline,Summary,Image URL,Link
"India's growth outlook for FY26 remains strong, says Finance Ministry","India's growth outlook remains robust driven by domestic demand, good monsoon, easing inflation, and GST rate cuts with upgraded forecasts to 6.6-6.8%.","https://img.etimg.com/thumb/msid-124843838,width-300,height-225,imgsize-15944,resizemode-75/indias-economy-projected-to-grow-6-5-in-fy26-but-tariff-tensions-pose-risks-bob-report.jpg",https://economictimes.com/news/economy/indicators/indias-growth-outlook-for-fy26-remains-strong-says-september-economic-review/articleshow/124843805.cms
Earnings recovery in sight for Indian automakers after five quarters of sluggish growth,Indian automakers are expected to see earnings recovery after five quarters of slow growth amid improving demand conditions.,https://www.reuters.com/resizer/v2/KO5WMASRS5MQ3APKGF6IOLSKEM.jpg?auth=88a6e684676cf5b43c77f84a2506de6ad8a9fb009bad886019c66ec4b1e5a945&width=1920&quality=80,https://www.reuters.com/world/india/earnings-recovery-sight-indian-automakers-after-five-quarters-sluggish-growth-2025-10-27/
India Is Withstanding Tariffs To Remain The World's Fastest Growing Major Economy,India maintains its position as the world's fastest-growing major economy despite facing international tariff pressures.,https://pbs.twimg.com/media/G4P13C8WIAA6S_d.jpg,https://www.forbes.com/sites/krnkashyap/2025/10/26/india-is-withstanding-tariffs-to-remain-the-worlds-fastest-growing-major-economy/
"PM Modi speaks at Rozgar Mela, India-US trade deal update & more",Prime Minister Modi addresses Rozgar Mela event with updates on India-US trade deal and other key developments.,"https://timesofindia.indiatimes.com/photo/msid-124800769,imgsize-646450.cms",https://timesofindia.indiatimes.com/videos/spotlight/pm-modi-speaks-at-rozgar-mela-india-us-trade-deal-update-more/videoshow/124800769.cms
Prime Minister's participation in the 22nd ASEAN-India Summit in Kuala Lumpur,PM Modi participates virtually in 22nd ASEAN-India Summit announcing maritime cooperation initiatives and strengthening regional partnership.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPnehXTosKgTmrGAKUx6_9p_qhAbp5ofs9dA&s,https://www.mea.gov.in/press-releases.htm?dtl%2F40231%2FPrime_Ministers_participation_in_the_22nd_ASEANIndia_Summit_in_Kuala_Lumpur
"BCCI issues update on Shreyas Iyer: Suffers spleen laceration, remains under medical observation in Sydney",India's ODI vice-captain Shreyas Iyer sustains spleen laceration injury after fielding fall during third ODI against Australia in Sydney.,"https://static.toiimg.com/thumb/msid-124842577,imgsize-179936,width-400,resizemode-4/australia-v-india-odi-series-game-3.jpg",https://timesofindia.indiatimes.com/sports/cricket/india-vs-australia/bcci-issues-update-on-shreyas-iyer-suffers-spleen-laceration-remains-under-medical-observation-in-sydney/articleshow/124842526.cms
India's tech investments shift to value-focused AI and SaaS,"India's tech sector recorded 80 deals worth $1.48 billion in Q3 2025, led by AI, SaaS, and automation investments with a 33% increase QoQ.",https://img.mathrubhumi.com/view/acePublic/alias/contentid/1mqrz5rvg7xvxrmkbne/0/ai-jpg.webp,https://english.mathrubhumi.com/technology/india-tech-deals-q3-2025-value-driven-growth-n9v0k5yi
"Business confidence dips after three quarters of rise, shows NCAER survey",Business sentiment in India softened in Q2 FY26 with BCI falling to 142.6 from 149.4 amid global uncertainties and policy adjustments.,https://images.moneycontrol.com/static-mcnews/2025/06/20250605074954_market_stocks_sensex_Nifty.jpg?impolicy=website&width=770&height=431,https://www.moneycontrol.com/news/business/economy/business-confidence-dips-after-three-quarters-of-rise-shows-ncaer-survey-13635288.html
"India's Tech Deals Soar 33% as Big Money Backs AI, SaaS, and Automation","India's tech deal activity surged 33% in Q3 2025 with strong M&A and PE interest in AI, SaaS, and enterprise automation reaching $1.48 billion.",https://img.republicworld.com/all_images/ai-saas-and-automation-1761558196272-16_9.webp?q=75&format=webp,https://www.republicworld.com/business/indias-tech-deals-soar-33-as-big-money-backs-ai-saas-and-automation
India at World Para Athletics Championships 2025,"India achieved 4th position on medals table at World Para Athletics Championships with 15 medals including 6 gold, 5 silver, and 4 bronze.",https://www.paralympic.org/sites/default/files/2025-06/NewDelhi25-WPA-We.jpeg,https://www.espn.com/olympics/story/_/id/46477751/india-world-para-athletics-championships-2025-full-schedule-medal-events-fixtures-october-4-saturday
